review_id,customer,product,rating,review
1,Aarav,Smartphone X,5,Absolutely love this phone! The camera quality is amazing.
2,Meera,Smartphone X,4,Great phone and excellent display. Battery could be better.
3,Rohan,Smartphone X,2,Very disappointing. The battery drains extremely fast.
4,Ananya,Smartphone X,5,Amazing product. Very happy with my purchase.
5,Vikram,Smartphone X,1,Terrible experience. Phone stopped working after a few days.
6,Neha,Smartphone X,4,Good phone overall. Delivery was quick.
7,Arjun,Smartphone X,2,The product is okay but customer service was terrible.
8,Isha,Smartphone X,5,Excellent quality and beautiful design. Highly recommended.
9,Karan,Smartphone X,3,Average product. Nothing particularly impressive.
10,Priya,Smartphone X,1,Worst purchase ever. Very poor quality.
11,Rahul,Smartphone X,5,Fantastic phone! Everything works perfectly.
12,Sneha,Smartphone X,4,Really good product. I like the camera and display.
13,Aditya,Smartphone X,2,Not happy with the battery performance.
14,Pooja,Smartphone X,5,Brilliant product and fast delivery.
15,Dev,Smartphone X,3,The phone is decent but slightly overpriced.
16,Simran,Smartphone X,1,Very bad experience. The phone overheats constantly.
17,Manish,Smartphone X,4,Good value for money. Happy with the purchase.
18,Riya,Smartphone X,5,Excellent experience from ordering to delivery.
19,Nikhil,Smartphone X,2,Disappointed with customer support.
20,Kavya,Smartphone X,5,I absolutely love this phone!
